kind,leg,kwarg,dtype,test,usd_irs,usd_irs_lt_2y,gbp_irs,eur_irs,sek_irs,nok_irs,chf_irs,cad_irs,cad_irs_le_1y,jpy_irs,aud_irs6,aud_irs3,aud_irs,eur_irs6,eur_irs3,eur_irs1,sek_irs3,nok_irs3,nok_irs6,eurusd_xcs,gbpusd_xcs,eurgbp_xcs,gbpeur_xcs,jpyusd_xcs,eur_zcis,gbp_zcis,usd_zcis,gbp_zcs,sek_iirs,eur_sbs36,nok_sbs36,us_gb,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,gbp_gbi,sek_fra3,eur_fra3,eur_fra6,eur_fra1,nok_fra3,nok_fra6,usd_frn5,usd_stir,usd_stir1,eur_stir,eur_stir1,eur_stir3,gbp_stir
meta,meta,currency,str,TES,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur/usd,gbp/usd,eur/gbp,gbp/eur,jpy/usd,eur,gbp,usd,gbp,sek_iirs,eur,nok,usd,usd,gbp,eur,eur,eur,eur,sek,nok,cad,usd,sek,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp
exchange,leg1,final_exchange,bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,
exchange,leg2,initial_exchange,bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchange,leg2,final_exchange,bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchange,leg1,fx_fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchange,leg2,fx_fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchange,leg1,payment_lag_exchange,int,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
exchange,leg2,payment_lag_exchange,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcs,leg1,fixed,bool,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcs,leg2,fixed,bool,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcs,leg2,mtm,bool,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
